,Dates,Time,Open,High,Low,Close,Volume,Average,BarCount
272,2014-12-03,00:00:00,207.06,208.15,206.85,207.84,581628,207.668,177140
273,2014-12-04,00:00:00,207.86,208.27,206.7,207.77,819950,207.54,233979
274,2014-12-05,00:00:00,207.95,208.47,207.46,208.13,783540,208.019,202884
275,2014-12-08,00:00:00,207.81,208.12,205.93,206.67,984138,206.955,263826
276,2014-12-09,00:00:00,206.05,206.6,203.91,206.34,1116219,205.271,330836
277,2014-12-10,00:00:00,206.24,206.32,202.93,203.29,1393962,204.221,415872
278,2014-12-11,00:00:00,203.9,206.19,202.89,203.55,1377024,204.979,408140
279,2014-12-12,00:00:00,202.78,204.14,200.31,200.56,1752065,202.216,485899
280,2014-12-15,00:00:00,201.52,202.53,198.78,199.92,1796368,200.382,592402
281,2014-12-16,00:00:00,200.08,202.4,197.49,198.44,2254463,199.581,664009
282,2014-12-17,00:00:00,198.5,202.34,198.12,202.03,2089219,200.485,639918
283,2014-12-18,00:00:00,202.59,212.97,201.79,207.21,2069210,205.391,546939
284,2014-12-19,00:00:00,206.69,207.33,205.62,206.42,1701859,206.411,473784
285,2014-12-22,00:00:00,207.12,207.56,206.12,207.38,1145532,207.04,293304
286,2014-12-23,00:00:00,207.18,208.38,207.1,207.92,904148,207.917,249873
287,2014-12-24,00:00:00,208.0,208.34,207.72,207.86,400467,208.078,124478
288,2014-12-26,00:00:00,208.15,208.85,208.02,208.58,456700,208.594,138710
289,2014-12-29,00:00:00,208.4,208.97,207.64,208.93,606837,208.717,192149
290,2014-12-30,00:00:00,208.3,208.72,207.51,207.89,616905,207.918,202884
291,2014-12-31,00:00:00,208.09,208.3,205.39,205.66,1012135,206.751,312973
292,2015-01-02,00:00:00,206.25,206.9,204.18,205.11,1041133,205.381,349494
293,2015-01-05,00:00:00,205.11,205.43,201.35,201.96,1396987,202.41,457739
294,2015-01-06,00:00:00,201.65,202.72,198.85,200.16,1762780,200.588,584159
295,2015-01-07,00:00:00,200.29,202.72,200.15,202.52,1120489,201.892,394367
296,2015-01-08,00:00:00,203.0,206.16,203.0,205.73,1215921,205.432,369197
297,2015-01-09,00:00:00,205.75,206.52,203.51,203.85,1370196,204.584,427017
298,2015-01-12,00:00:00,204.49,205.17,201.92,202.69,1219729,202.751,360973
299,2015-01-13,00:00:00,202.82,205.48,200.51,201.97,1726021,202.867,556195
300,2015-01-14,00:00:00,200.87,202.33,198.57,201.28,1630502,200.139,550277
301,2015-01-15,00:00:00,202.4,202.44,197.76,198.13,1501163,199.972,523840
302,2015-01-16,00:00:00,198.68,201.83,197.15,201.65,1634580,200.362,465194
303,2015-01-20,00:00:00,202.0,203.0,200.17,201.95,1135110,201.48,372318
304,2015-01-21,00:00:00,201.99,203.66,200.94,203.07,1154536,202.594,364620
305,2015-01-22,00:00:00,203.57,206.26,202.33,205.89,1565616,204.808,406764
306,2015-01-23,00:00:00,206.05,206.62,204.45,204.52,1026116,205.476,337342
307,2015-01-26,00:00:00,204.23,205.86,203.36,205.81,848706,204.978,278976
308,2015-01-27,00:00:00,205.49,205.8,201.74,203.92,1220158,202.977,440719
309,2015-01-28,00:00:00,204.02,204.42,199.56,200.07,1449304,201.976,497563
310,2015-01-29,00:00:00,199.88,202.45,198.68,202.0,1420859,200.367,505449
311,2015-01-30,00:00:00,201.81,202.17,199.11,199.23,1662369,200.452,542083
312,2015-02-02,00:00:00,199.56,202.32,197.86,201.65,1416242,199.94,511778
313,2015-02-03,00:00:00,202.87,204.85,202.15,204.63,1125053,203.779,373938
314,2015-02-04,00:00:00,204.48,205.38,202.71,203.05,1190500,204.298,365509
315,2015-02-05,00:00:00,203.8,206.3,203.8,205.96,872578,205.682,271575
316,2015-02-06,00:00:00,205.96,207.24,204.92,206.04,1098357,206.188,353089
317,2015-02-09,00:00:00,204.85,205.64,204.13,204.94,733949,204.945,267138
318,2015-02-10,00:00:00,204.77,207.12,204.59,206.75,801374,206.067,276112
319,2015-02-11,00:00:00,206.52,208.44,205.83,207.19,804867,206.745,278971
320,2015-02-12,00:00:00,207.45,208.99,206.97,208.72,862944,208.452,270645
321,2015-02-13,00:00:00,209.1,209.97,208.76,209.97,806518,209.41,245391
322,2015-02-17,00:00:00,209.16,210.32,208.91,210.11,679379,209.808,223301
323,2015-02-18,00:00:00,210.19,210.22,209.34,209.94,678880,209.824,210342
324,2015-02-19,00:00:00,209.64,210.42,209.24,210.01,745589,209.913,218659
325,2015-02-20,00:00:00,209.86,211.33,208.73,211.24,1146064,210.296,320422
326,2015-02-23,00:00:00,211.0,211.31,210.48,211.12,628742,210.92,166582
327,2015-02-24,00:00:00,211.08,212.05,210.76,211.81,655300,211.543,206797
328,2015-02-25,00:00:00,211.77,212.24,211.22,211.58,648474,211.664,190270
329,2015-02-26,00:00:00,211.63,211.96,210.65,211.17,645756,211.303,199725
330,2015-02-27,00:00:00,211.16,211.58,210.6,210.83,906653,211.008,226610
331,2015-03-02,00:00:00,211.07,212.06,210.57,211.86,760284,211.603,205649
332,2015-03-03,00:00:00,211.8,212.06,210.08,210.72,889393,210.918,248960
333,2015-03-04,00:00:00,210.25,211.14,209.06,210.14,925268,209.964,260192
